Kecamatan,Minimarket,Supermarket,Mall
Andir,20,,0
Antapani,17,3,1
Arcamanik,12,1,0
Astanaanyar,19,1,0
Babakan Ciparay,15,1,1
Bandung Kidul,8,1,0
Bandung Kulon,17,2,1
Bandung Wetan,8,0,6
Batununggal,13,3,1
Bojongloa Kaler,12,1,0
Bojongloa Kidul,15,1,0
Buahbatu,29,4,3
Cibeunying Kaler,32,2,0
Cibeunying Kidul,16,1,0
Cibiru,6,1,0
Cicendo,26,6,3
Cidadap,7,3,0
Cinambo,3,0,0
Coblong,58,3,1
Gedebage,8,1,0
Kiaracondong,33,2,1
Lengkong ,39,4,0
Mandalajati,15,1,0
Panyileukan,8,1,0
Rancasari,16,5,0
Regol,34,2,4
Sukajadi,27,3,3
Sukasari,28,0,0
Sumur Bandung,12,3,4
Ujungberung,22,2,0